나겔	그래서, 이 분께 상황 설명을 하나도 안 했다고요?
비델	생방송인데 어떡해요. 이미 스케줄에서 5분이나 밀려 있었는데 게임부터 시켜야지.
비델	애초에 설명할 것도 없잖아요? 그냥 천계에서 인간 하나 납치해 퍼즐 풀게 하는 게임 쇼를 하는데 이번에 당첨이 되셨습니다, 하면 되죠.
나겔	혹시 예전 참가자들께도 그렇게 말하셨어요?
비델	네.
나겔	…네, 어쨌든 여기가 게임 쇼인 것은 맞고요. 저와 이 분은 진행자라 생각해주시면 됩니다.
비델	그리고 우리 참가자 분께서는, 들어가면 바로 숨이 끊어지는 지옥 문을 피해서 몇 십 개의 무대를 통과하셔야 되고요.
나겔	물론 제작팀 분들께서, 잘 생각하시면 어느 칸이 천국 문인지는 아실 수 있도록 설계했습니다.
나겔	더 직접적으로 말하면, <color=#FF00FF>저희가 참가자님을 대놓고 죽이려고 천국 문을 아예 놔두지 않거나, 주어진 무대를 활용해도 천국문의 위치를 알 수 없게 만들지는 않았습니다.</color>
비델	자, 그러면 슬슬 다음 무대 시작하겠습니다!
